,Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Categories,Historical Information,Url
2192,Frankston City Council,Robinsons Park,Frankston,-38.174494,145.159577,Baseball,4.0,Grass,,,Robinsons Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Baseball']",,
2193,Frankston City Council,Frankston Basketball Stadium,Seaford,-38.120135,145.133833,Basketball,6.0,Wooden Gymnasium,3. Average,"Female, Male, Umpire/Officials",Bardia Avenue Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Basketball']",,
2194,Frankston City Council,Langwarren Basketball Stadium (Elizabeth Murdoch college),Langwarrin,-38.158699,145.190719,Basketball,1.0,Wooden Gymnasium,,"Female, Male",80 Warrandyte Road Langwarrin 3910,,"['Frankston City Council', 'Langwarrin', 'Sports', 'Basketball']",,
2195,Frankston City Council,Frankston Indoor Sports,Seaford,-38.117445,145.141387,Beach Volleyball,1.0,,,,81 Hartnett Drive Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports']",,
2196,Frankston City Council,Frankston Motocycle & BMX Club,Seaford,-38.091557,145.147673,BMX,1.0,Dirt,,,101 Old Wells Road Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports']",,
2197,Frankston City Council,Delacombe Park Reserve,Frankston South,-38.161917,145.126653,Cricket,2.0,Synthetic Pitch,3. Average,Male,Overport Road Frankston South 3199,,"['Frankston City Council', 'Frankston South', 'Sports', 'Cricket']",,
2198,Frankston City Council,Frank Street Reserve,Frankston,-38.14059,145.14426,Cricket,1.0,Synthetic Pitch,,,Frank Street Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Cricket']",,
2199,Frankston City Council,Seaford North Reserve,Seaford,-38.10172100000000,145.12982,Cricket,2.0,Synthetic Pitch,,Male,Railway Parade Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Cricket']",,
2200,Frankston City Council,Skye Recreation Reserve,Skye,-38.119555,145.219484,Cricket,1.0,Synthetic Pitch,4. Good,Male,Ballarto Road Skye 3977,,"['Frankston City Council', 'Skye', 'Sports', 'Cricket']",,
2201,Frankston City Council,Worland Park Reserve,Frankston,-38.144834,145.159766,Cricket,1.0,Synthetic Pitch,,,Belar Avenue Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Cricket']",,
2202,Frankston City Council,Frankston Croquet Club,Frankston,-38.150344,145.123678,Croquet,3.0,Grass,4. Good,,Nolan Street Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Croquet']",,
2203,Frankston City Council,Langwarrin Club Grounds,Langwarrin,-38.161417,145.197596,Equestrian,,,,,Cozy Valley Road Langwarrin 3910,,"['Frankston City Council', 'Langwarrin', 'Sports']",,
2204,Frankston City Council,Beach House Health & Fitness Frankston,Frankston,-38.141714,145.120857,Fitness / Gymnasium Workouts,1.0,,,,444 Nepean Hwy Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Gymnasium']",,
2205,Frankston City Council,Beachside Fitness Centre Seaford,Seaford,-38.100956,145.14300500000000,Fitness / Gymnasium Workouts,1.0,,,,35 Brunel Road Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Gymnasium']",,
2206,Frankston City Council,Chisolm Fitness Centre,Frankston,-38.138686,145.123274,Fitness / Gymnasium Workouts,1.0,,,,Fletcher Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Gymnasium']",,
2207,Frankston City Council,Contours Langwarrin,Langwarrin,-38.146357,145.17375800000000,Fitness / Gymnasium Workouts,1.0,,,,397 McClelland Drive Langwarrin 3910,,"['Frankston City Council', 'Langwarrin', 'Sports', 'Gymnasium']",,
2208,Frankston City Council,Core Health Club,Frankston,-38.164002,145.13751100000000,Fitness / Gymnasium Workouts,1.0,,,,1 Golf Links Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Gymnasium']",,
2209,Frankston City Council,Curves Frankston,Frankston,-38.146794,145.123932,Fitness / Gymnasium Workouts,1.0,,,,43 Davey Street Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Gymnasium']",,
2210,Frankston City Council,Deeki Body Tone,Frankston South,-38.183816,145.141077,Fitness / Gymnasium Workouts,1.0,,,,286 Frankston-Flinders Road Frankston South 3199,,"['Frankston City Council', 'Frankston South', 'Sports', 'Gymnasium']",,
2211,Frankston City Council,Energym Health & Fitness,Frankston,-38.129461,145.129853,Fitness / Gymnasium Workouts,1.0,,,,25 Overton Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Gymnasium']",,
2212,Frankston City Council,Goodlife Karingal,Frankston,-38.151257,145.16653,Fitness / Gymnasium Workouts,1.0,,,,197 Karingal Drive Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Gymnasium']",,
2213,Frankston City Council,Input Fitness,Frankston,-38.151547,145.154086,Fitness / Gymnasium Workouts,1.0,,,,224 Cranbourne Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Gymnasium']",,
2214,Frankston City Council,Jetts Fitness,Langwarrin,-38.150595,145.195695,Fitness / Gymnasium Workouts,1.0,,,,230 Cranbourne-Frankston Road Langwarrin 3910,,"['Frankston City Council', 'Langwarrin', 'Sports', 'Gymnasium']",,
2215,Frankston City Council,Lifestyle Leisure Centre,Frankston,-38.152503,145.112206,Fitness / Gymnasium Workouts,1.0,,,,313 Nepean Hwy Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Gymnasium']",,
2216,Frankston City Council,Lime Health & Fitness,Carrum Downs,-38.107734,145.163158,Fitness / Gymnasium Workouts,1.0,,,,490 Frankston-Dandenong Road Carrum Downs 3201,,"['Frankston City Council', 'Carrum Downs', 'Sports', 'Gymnasium']",,
2217,Frankston City Council,Living Now Health & Fitness,Seaford,-38.115332,145.140792,Fitness / Gymnasium Workouts,1.0,,,,42 Hartnett Drive Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Gymnasium']",,
2218,Frankston City Council,Monash University,Frankston,-38.15244000000000,145.136785,Fitness / Gymnasium Workouts,1.0,,,,Bloom Street Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Gymnasium']",,
2219,Frankston City Council,My Time Health & Fitness,Langwarrin,-38.145686,145.17484300000000,Fitness / Gymnasium Workouts,1.0,,,,389 McClelland Drive Langwarrin 3910,,"['Frankston City Council', 'Langwarrin', 'Sports', 'Gymnasium']",,
2220,Frankston City Council,Not a Gym,Seaford,-38.115049,145.141128,Fitness / Gymnasium Workouts,1.0,,,,46 Peninsula Boulevard Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Gymnasium']",,
2221,Frankston City Council,Snap Fitness Frankston,Frankston,-38.14063400000000,145.124849,Fitness / Gymnasium Workouts,1.0,,,,15-29 Beach Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Gymnasium']",,
2222,Frankston City Council,XFC Gym,Carrum Downs,-38.098981,145.16709700000000,Fitness / Gymnasium Workouts,1.0,,,,31 Lathams Road Carrum Downs 3201,,"['Frankston City Council', 'Carrum Downs', 'Sports', 'Gymnasium']",,
2223,Frankston City Council,Centenary Park Golf Course,Frankston,-38.132541,145.175905,Golf,18.0,18 Hole Course - Public,3. Average,,McClelland Drive Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Golf']",,
2224,Frankston City Council,Frankston Golf Course,Frankston,-38.170266,145.147855,Golf,9.0,9 Hole Course - Public,,,Golf Links Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Golf']",,
2225,Frankston City Council,Long Island Country Club,Frankston,-38.127406,145.137662,Golf,18.0,18 Hole Course - Private,,,Dandenong Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Golf']",,
2226,Frankston City Council,Peninsula Country Golf Club,Frankston,-38.131453,145.157446,Golf,36.0,18 Hole Course - Private,,,Skye Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Golf']",,
2227,Frankston City Council,Sandhurst Club,Sandhurst,-38.078886,145.210718,Golf,36.0,18 Hole Course - Private,,,75 Sandhurst Boulevard Sandhurst 3977,,"['Frankston City Council', 'Sandhurst', 'Sports', 'Golf']",,
2228,Frankston City Council,Skye Public Golf Course,Skye,-38.11701400000000,145.210521,Golf,9.0,9 Hole Course - Public,,,Ballarto Road Skye 3977,,"['Frankston City Council', 'Skye', 'Sports', 'Golf']",,
2229,Frankston City Council,Bayside Gymnastics (Langwarrin Park Primary School),Langwarrin,-38.151888,145.201576,Gymnastics,,,,,North gateway Langwarrin 3910,,"['Frankston City Council', 'Langwarrin', 'Sports', 'Gymnastics']",,
2230,Frankston City Council,Dolphin Gymnastics Club,Carrum Downs,-38.10614,145.16573800000000,Gymnastics,,,,,2 Amayla Cresent Carrum Downs 3201,,"['Frankston City Council', 'Carrum Downs', 'Sports', 'Gymnastics']",,
2231,Frankston City Council,Baxter Village Bowls Club,Frankston South,-38.176837,145.151124,Lawn Bowls,1.0,Grass,,,Robinsons Road Frankston South 3199,,"['Frankston City Council', 'Frankston South', 'Sports']",,
2232,Frankston City Council,Carrum Bowling Club,Carrum Downs,-38.085431,145.124043,Lawn Bowls,2.0,Grass,,"Female, Male",Nepean Hwy Carrum Downs 3201,,"['Frankston City Council', 'Carrum Downs', 'Sports']",,
2233,Frankston City Council,Frankston Bowling Club,Frankston,-38.151589,145.124906,Lawn Bowls,4.0,Grass,3. Average,"Female, Male",Yuille Street Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports']",,
2234,Frankston City Council,Frankston RSL Bowling Club,Frankston,-38.150896,145.148176,Lawn Bowls,2.0,Grass,,,Cranbourne-Frankston Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports']",,
2235,Frankston City Council,Karingal Bowling Club,Frankston,-38.137466,145.156579,Lawn Bowls,2.0,Grass,,,Skye Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports']",,
2236,Frankston City Council,Seaford Bowls Club,Seaford,-38.106392,145.156353,Lawn Bowls,2.0,Grass,4. Good,"Female, Male",East Road Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports']",,
2237,Frankston City Council,Yamala Park,Frankston South,-38.165625,145.10436300000000,Lawn Bowls,1.0,Grass,3. Average,,Bowes Street Frankston South 3199,,"['Frankston City Council', 'Frankston South', 'Sports']",,
2238,Frankston City Council,Frankston Yacht Club,Frankston,-38.145515,145.117278,Sailing,,,,,Long Island Drive Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Sailing']",,
2239,Frankston City Council,Frankston Clay Target Club,Carrum Downs,-38.080355,145.16559000000000,Shooting Sports,1.0,,,,Rossiter Road Carrum Downs 3201,,"['Frankston City Council', 'Carrum Downs', 'Sports', 'Shooting']",,
2240,Frankston City Council,Samuel Sherlock Reserve,Frankston,-38.145111,145.128132,Skating,1.0,,,,Cranbourne Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Skating']",,
2241,Frankston City Council,Sandfield Reserve,Carrum Downs,-38.105999,145.189722,Skating,1.0,,,,Sandfield Drive Carrum Downs 3201,,"['Frankston City Council', 'Carrum Downs', 'Sports', 'Skating']",,
2242,Frankston City Council,Centenary Park,Frankston,-38.139322,145.175856,Soccer,3.0,Grass,3. Average,Male,McClelland Drive Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Soccer']",,
2243,Frankston City Council,Lawton Reserve,Langwarrin,-38.183784,145.17905,Soccer,5.0,Grass,4. Good,"Female, Male",Barretts Road Langwarrin 3910,,"['Frankston City Council', 'Langwarrin', 'Sports', 'Soccer']",,
2244,Frankston City Council,Monterey Reserve,Frankston North,-38.120941,145.151443,Soccer,3.0,Grass,3. Average,"Female, Male",Monterey Boulevard Frankston North 3200,,"['Frankston City Council', 'Frankston North', 'Sports', 'Soccer']",,
2245,Frankston City Council,Frankston Life Saving Club,Frankston,-38.142608,145.11869100000000,Surf Life Saving,,,,,Wells Street Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Surf']",,
2246,Frankston City Council,Seaford Life Saving Club,Seaford,-38.103277,145.124822,Surf Life Saving,,,,,Station Road Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Surf']",,
2247,Frankston City Council,Frankston Regional Aquatic Health & Wellbeing Centre,Frankston,-38.153112,145.146219,Swimming,,,,,Hillcrest Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Swimming']",,
2248,Frankston City Council,Pines Forest,Frankston North,-38.123694,145.150925,Swimming,2.0,"50m Pool - Outdoor, Toddlers Pool",3. Average,"Female, Male",Forest Drive Frankston North 3200,,"['Frankston City Council', 'Frankston North', 'Sports', 'Swimming']",,
2249,Frankston City Council,Belvedere Park Tennis Club,Seaford,-38.106383,145.151511,Tennis (Outdoor),9.0,Hard Court,2. Poor,,East Road Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Tennis']",,
2250,Frankston City Council,Crystal park,Seaford,-38.096677,145.131869,Tennis (Outdoor),5.0,Clay,3. Average,"Female, Male",Halifax Street Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Tennis']",,
2251,Frankston City Council,Frankston East Tennis Club,Frankston,-38.133495,145.176479,Tennis (Outdoor),13.0,Hard Court,3. Average,,Centenary Park Drive Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Tennis']",,
2252,Frankston City Council,Frankston Tennis Club,Frankston,-38.15009600000000,145.12636,Tennis (Outdoor),15.0,Hard Court,3. Average,,Yuille Street Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Tennis']",,
2253,Frankston City Council,Kananook Tennis Club,Seaford,-38.118932,145.12719200000000,Tennis (Outdoor),4.0,Hard Court,3. Average,,Kananook Avenue Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Tennis']",,
2254,Frankston City Council,Karingal Tennis Club/ DELETE,Frankston,-38.14392,145.162035,Tennis (Outdoor),7.0,Hard Court,,,Gretana Cresent Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Tennis']",,
2255,Frankston City Council,Long Island Tennis Club,Frankston,-38.129326,145.12365,Tennis (Outdoor),4.0,Hard Court,2. Poor,,Gould Street Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Tennis']",,
2256,Wyndham City Council,Werribee Sports & Fitness Centre,Werribee,-37.898601,144.64031600000000,Netball,5.0,Hard Court,4. Good,"Female, Male",Ballan Road Werribee 3030,,"['Wyndham City Council', 'Werribee', 'Sports', 'Netball']",,
2257,Wyndham City Council,Hoppers Indoor Sportz,Hoppers Crossing,-37.872,144.7275,Netball (indoor),2.0,,,,Graham Court Hoppers Crossing 3029,,"['Wyndham City Council', 'Hoppers Crossing', 'Sports', 'Netball']",,
2258,Wyndham City Council,Riverside Indoor Sports,Werribee,-37.913492,144.659074,Netball (Indoor),5.0,Carpet Playing Surface,,,13 Riverside Avenue Werribee 3030,,"['Wyndham City Council', 'Werribee', 'Sports', 'Netball']",,
2259,Wyndham City Council,National Equestrian Centre,Werribee,-37.924111,144.67498,Polo,2.0,,,,K Road Werribee 3030,,"['Wyndham City Council', 'Werribee', 'Sports', 'Polo']",,
2260,Wyndham City Council,Clearwood Drive Reserve,Truganina,-37.840037,144.71783,Rugby League,2.0,,,,Clearwood Drive Truganina,,"['Wyndham City Council', 'Truganina', 'Sports', 'Rugby']",,
2261,Wyndham City Council,Haines Drive Reserve,Wyndham Vale,-37.897069,144.609389,Rugby League,2.0,,5. Very Good,"Female, Male, Umpire/Officials",Haines Road Wyndham Vale 3024,,"['Wyndham City Council', 'Wyndham Vale', 'Sports', 'Rugby']",,
2262,Wyndham City Council,Mossfiel Reserve,Hoppers Crossing,-37.877437,144.692478,Rugby Union,2.0,Grass,3. Average,"Umpire/Officials, Unisex",Heaths Road Hoppers Crossing 3029,,"['Wyndham City Council', 'Hoppers Crossing', 'Sports', 'Rugby']",,
2263,Wyndham City Council,Wyndham Handgun Club,Werribee,-37.89830300000000,144.640603,Shooting Sports,,,,,Ballan Road Werribee 3030,,"['Wyndham City Council', 'Werribee', 'Sports', 'Shooting']",,
2264,Wyndham City Council,Boardwalk Skate Park,Point Cook,-37.880556,144.73533600000000,Skating,1.0,Concrete,3. Average,,Boardwalk Boulevard Point Cook 3030,,"['Wyndham City Council', 'Point Cook', 'Sports', 'Skating']",,
2265,Wyndham City Council,Little River Reserve,Little River,-37.961417,144.497406,Skating,1.0,Concrete,,,You Yangs Road Little River 3211,,"['Wyndham City Council', 'Little River', 'Sports', 'Skating']",,
2266,Wyndham City Council,Presidents Park,Werribee,-37.88181,144.634572,Skating,1.0,Concrete,3. Average,,McGraths Road Werribee 3030,,"['Wyndham City Council', 'Werribee', 'Sports', 'Skating']",,
2267,Wyndham City Council,Forsyth Road Reserve,Truganina,-37.860804,144.729419,Soccer,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Forsyth Road Truganina 3029,,"['Wyndham City Council', 'Truganina', 'Sports', 'Soccer']",,
2268,Wyndham City Council,Galvin Park,Werribee,-37.88706,144.650409,Soccer,3.0,Grass,4. Good,"Umpire/Officials, Unisex",Shaws Road Werribee 3030,,"['Wyndham City Council', 'Werribee', 'Sports', 'Soccer']",,
2269,Wyndham City Council,Grange Reserve Soccer Complex,Hoppers Crossing,-37.860885,144.676572,Soccer,2.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Hogans Road Hoppers Crossing 3029,,"['Wyndham City Council', 'Hoppers Crossing', 'Sports', 'Soccer']",,
2270,Wyndham City Council,Saltwater Reserve,Point Cook,-37.909351,144.752502,Soccer,3.0,Artificial Turf,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Point Cook Road Point Cook 3030,,"['Wyndham City Council', 'Point Cook', 'Sports', 'Soccer']",,
2271,Wyndham City Council,Tom Roberts Parade Reserve,Point Cook,-37.89401,144.727529,Soccer,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Tom Robert Parade Point Cook 3030,,"['Wyndham City Council', 'Point Cook', 'Sports', 'Soccer']",,
2272,Wyndham City Council,VU Wyndham Sporting Complex,Werribee,-37.892629,144.702157,Soccer,1.0,Grass,4. Good,"Female, Male",Hoppers Lane Werribee 3030,,"['Wyndham City Council', 'Werribee', 'Sports', 'Soccer']",,
2273,Wyndham City Council,Laurie Emmins Reserve,Laverton North,-37.852136,144.764933,Softball,1.0,Grass,2. Poor,,Sayers Road Laverton North 3026,,"['Wyndham City Council', 'Laverton North', 'Sports', 'Softball']",,
